text1,text2,base pred,trained pred,base label,trained label,truth
sharpness,feeling good,0.258,0.057,False,False,False
astuteness,tact,0.3083,0.7114,False,True,True
glass,chatter,0.3594,0.1295,False,False,False
to take a parting shot at,to take a parting shot at,1.0,1.0,True,True,True
position,set_back,0.1868,0.808,False,True,True
material mechanics,Ethiopian wolf,0.02832,-0.03696,False,False,False
Red List (e.g. IUCN Red List of Threatened Species),disappointed,0.0525,0.02261,False,False,False
to huddle,programmable read-only memory,0.0521,-0.06396,False,False,False
bang,nth year in the Meiji era (1868.9.8-1912.7.30),0.0646,0.06757,False,False,False
bed throw,gross (i.e. not net),0.2637,0.00613,False,False,False
superficial knowledge,superstring theory,0.0866,0.0542,False,False,False
gross,ordinary,0.2737,0.1954,False,False,False
expressing one's opinion,making known,0.2942,0.7017,False,True,True
Kyōwa era (1801.2.5-1804.2.11),point of view,0.0637,-0.03668,False,False,False
photochemical engraving,filing,0.155,0.11035,False,False,False
disgust,Japanese alder (Alnus japonica),0.0436,-0.11206,False,False,False
estriol,goggling one's eyes,0.126,-0.02904,False,False,False
circuit breaker,is it not so?,0.05536,-0.02628,False,False,False
retort carbon,cave cricket,0.1985,0.1974,False,False,False
returned goods,returned goods,1.0,1.001,True,True,True
disconnection,related word,0.1807,0.02478,False,False,False
affiliation,ill-defined,0.156,-0.02344,False,False,False
to take into account,to take into account,1.001,1.0,True,True,True
custom,custom,1.0,1.001,True,True,True
sterilizing properties,me,-0.042,-0.01496,False,False,False
to lie (buried),to sleep (in the grave),0.66,0.5347,True,True,True
groovy,direct,0.1661,0.2507,False,False,False
uneager,flannelette,0.2744,-0.0324,False,False,False
suddenly,lingering winter,0.2747,-0.2192,False,False,False
move,to break the seal,0.11145,-0.1283,False,False,False
Zen Buddhism based on the teachings of Bodhidharma,entertaining film,0.08075,0.03555,False,False,False
keepie-ups,to bend (with great force),-0.0122,0.03168,False,False,False
worth,disrespect,0.1759,-0.10986,False,False,False
binding,three,0.1844,-0.007458,False,False,False
to catch fire,"ban on entering (a building, venue, etc.)",0.05695,-0.02745,False,False,False
Torah,keep_off,0.191,0.00466,False,False,False
respectfully presenting,polyphony (of an electronic keyboard or synthesizer),0.05527,-0.1677,False,False,False
unfamiliar,in addition to that,0.1959,0.03888,False,False,False
discharge,period after orgasm when a man is free from sexual desire and can think clearly,0.2983,0.0632,False,False,False
female escort,end-of-file,0.0671,0.1877,False,False,False
unapproachability,murder,0.1266,-0.0129,False,False,False
each county,match,0.121,-0.0308,False,False,False
current price,somnolence,0.02611,-0.09644,False,False,False
vagrant,sharpen,0.11005,-0.01332,False,False,False
"paste made from paulownia sawdust and wheat starch (used in traditional doll-making, etc.)",linguistic,-0.01223,-0.0705,False,False,False
fall day,punctuated equilibrium (theory of evolutionary biology),0.00554,0.0433,False,False,False
integrity,term of payment,0.1926,0.01039,False,False,False
go_down,particles,0.1371,-0.02362,False,False,False
just,inexactly,0.2024,-0.261,False,False,False
slovenly,completely,0.2466,0.0653,False,False,False
"Chinese ""stomach"" constellation (one of the 28 mansions)",hallo,0.07294,-0.1832,False,False,False
crash,measuring method,0.0835,-0.07666,False,False,False
bread machine,being offended,0.05722,-0.1252,False,False,False
unconsciously,to come up from below the stage (by being lifted up on the stage elevator),0.2446,-0.02158,False,False,False
power of the office of the President (of the House of Councillors),curvatura ventriculi minor,0.1098,0.0662,False,False,False
to write,to write,1.001,1.0,True,True,True
enormous,tremendous,0.705,0.876,True,True,True
noctuid,opening of a ceremony,0.08923,-0.06256,False,False,False
whiff,Madrid system (for international trademarks),-0.0006166,-0.04062,False,False,False
deficiency,imperfection,0.3215,0.7124,False,True,True
honest,clear_away,0.161,0.5913,False,True,True
increase and decrease,bringing to the fore,0.126,0.185,False,False,False
HEBUST,recuperate,0.0791,-0.0762,False,False,False
squished flat,sticky,0.2496,0.2157,False,False,False
penury,Echinodermata (phylum of marine invertebrates),0.1315,0.03818,False,False,False
Maori,class,0.2427,-0.09515,False,False,False
sluggish,as before,0.2155,-0.01726,False,False,False
attachment,branch_out,0.1843,0.2477,False,False,False
free drink,pilot,0.2058,0.0639,False,False,False
coast guard,half a month,0.1421,0.0848,False,False,False
"traditional unit of area, approx 0.33 square meters",foreign exchange reserves,0.068,0.01381,False,False,False
vigorously,to cross the line,0.2026,-0.0561,False,False,False
color of daybreak,wear_off,0.223,-0.014595,False,False,False
windshield,to hold back (e.g. tears),0.2502,0.002687,False,False,False
beginning tag,starting tag,0.947,0.892,True,True,True
village elder,to rain harder,0.0937,0.11584,False,False,False
flat,to take measures,0.1368,-0.1824,False,False,False
machine-printing,(online) comment,0.0333,-0.05753,False,False,False
freeze,most important task,0.2722,0.0604,False,False,False
penniless,flat broke,0.279,0.7397,False,True,True
pen and ink,new left,0.1849,-0.0749,False,False,False
looking up,dispirited,0.2047,0.01409,False,False,False
salaried employee,mercilessly,0.04675,-0.05487,False,False,False
promising (future),discontented,0.19,0.04068,False,False,False
oribi (Ourebia ourebi),suni (Neotragus moschatus),0.3796,0.05768,False,False,False
lady writer,walk_around,0.0908,-0.00888,False,False,False
texture,closing,0.1197,0.02809,False,False,False
St Elmo's fire,key customize,0.0792,0.0785,False,False,False
looks,look_up,0.2556,0.92,False,True,True
"giant pygmy goby (Trimma gigantum, fish found in Palau)",The Stand (book),0.03052,0.02808,False,False,False
to be contented,husband,0.1989,0.0372,False,False,False
conceit,industrial park,0.1732,-0.12036,False,False,False
to feel refreshed,ice color,0.2203,0.08655,False,False,False
fluorocarbon polymer,store name,0.0904,-0.0855,False,False,False
crowd of people,dwarf,0.0861,0.1213,False,False,False
die_down,uncharacteristic,0.1004,-0.0998,False,False,False
to suffer,to suffer,1.0,1.0,True,True,True
testicle,testicle,1.0,1.0,True,True,True
loose,influenza,0.229,0.0909,False,False,False
investigation,answer,0.3777,0.006065,False,False,False
to gain strength,phenomenal,0.05417,-0.0652,False,False,False
beautiful face,barbarians,0.1296,0.005688,False,False,False
electromagnetic shower,"producer (of film, theatre, TV, etc.)",-0.02463,-0.0323,False,False,False
great,reorganisation,0.2092,0.01553,False,False,False
rear,fairly,0.2756,0.03928,False,False,False
offering price,online lesson,0.217,-0.08154,False,False,False
one's face,one's honour,0.5996,0.569,True,True,True
there,that place,0.41,0.6465,False,True,True
to play one's last card,foosball,0.1586,0.04977,False,False,False
stubborn and mean,conidial,0.2126,0.3347,False,False,False
I'm sorry,excuse me,0.4504,0.748,True,True,True
brake light,light brown,0.2568,0.3083,False,False,False
transport administration,embodiment,0.12134,-0.06415,False,False,False
as necessary (needed),parched-barley tea,0.0761,0.00877,False,False,False
huge breasts,slender sunfish (Ranzania laevis),0.2089,-0.07794,False,False,False
available,client-server model,0.09906,0.00726,False,False,False
uncomplaining,soba water,0.0244,-0.01458,False,False,False
without a break,even,0.18,0.2607,False,False,False
opening session,not made public,0.05957,0.2242,False,False,False
dying whisper,supernatural,0.3584,0.307,False,False,False
the said committee,firelight,0.12146,-0.015305,False,False,False
lady,to line one's pockets,0.1863,-0.02948,False,False,False
stone wall,conserve,0.2039,0.0589,False,False,False
mobility,unadaptability,0.1962,-0.07666,False,False,False
spurring on,(business) card tray,0.01779,-0.1699,False,False,False
pretty,unreasonably,0.3726,-0.089,False,False,False
"the four ways of birth (from a womb, an egg, moisture or spontaneously)",physical distribution,0.134,0.2008,False,False,False
becoming part of the standard inventory (of a product),war of extermination,-0.00597,-0.01779,False,False,False
edification,go_to_bed,0.134,0.0411,False,False,False
global citizen,citizen of the earth,0.699,0.597,True,True,True
weather-proof,forest protection,0.294,0.3489,False,False,False
investment environment,supercar,0.05374,-0.076,False,False,False
to describe,to describe,1.0,1.001,True,True,True
division,mound made in the image of Mt. Fuji,0.0873,0.0692,False,False,False
to dig up,demineralization,0.1749,-0.03558,False,False,False
burnished finish,freezing rain,0.07104,0.0908,False,False,False
to get angry,to get angry,1.0,1.0,True,True,True
passable,so-so,0.1335,0.5317,False,True,True
inertness,excellent plan,0.005512,-0.05292,False,False,False
small-minded,low voltage,0.1788,0.2002,False,False,False
having presence of mind,figure_out,0.1733,0.279,False,False,False
part-time staff,outflow of refugees,0.0627,-0.0734,False,False,False
unhealthy,normal,0.342,-0.03433,False,False,False
palm lily,palm lily,1.001,1.0,True,True,True
I hope,to outdistance,-0.0368,-0.03766,False,False,False
excessive,partygoer,0.197,-0.006508,False,False,False
syrup,NPO law,0.04404,0.01482,False,False,False
enemy,enemy,1.0,0.9995,True,True,True
florist,honey bee,0.2642,0.1865,False,False,False
wholly,quotient,0.1366,-0.08575,False,False,False
theoretically,overthrow (e.g. of a government),0.1443,-0.0832,False,False,False
turn (melodic ornament),gruppetto,0.132,0.4004,False,False,True
damages,settlement,0.4524,0.499,True,True,True
well,meagerly,0.2463,-0.2052,False,False,False
stirring up a hornet's nest,sound,0.1301,-0.1685,False,False,False
emulation,cooperation,0.271,0.2544,False,False,False
national prestige,trademark,0.3457,0.2578,False,False,False
on the road,in the street,0.726,0.551,True,True,True
business card,distortion in the weave of a fabric,0.05914,-0.04678,False,False,False
optic aphasia,hand_down,0.01613,-0.0222,False,False,False
spring onion,messenger,0.1043,-0.04657,False,False,False
English writing,upper step,0.1744,-0.0882,False,False,False
Social Insurance Agency,Harijan (member of India's untouchable caste),0.001968,-0.0735,False,False,False
demerit,query channel,0.1466,-0.002956,False,False,False
boxing (putting a value in a wrapper type),closing,0.1055,0.0579,False,False,False
memorial,safari jacket,0.1091,-0.0832,False,False,False
recognizably,unaffected,0.1777,-0.046,False,False,False
gas range,without exception,0.05197,0.00322,False,False,False
scolding,reprimand,0.3923,0.749,False,True,True
tea set,cross-platform transfer,0.02081,-0.0937,False,False,False
dust cover,calendar method,0.0736,-0.0178,False,False,False
zone,zone,0.9995,0.9995,True,True,True
internetwork,affixing a seal,-0.02484,-0.0877,False,False,False
(for a conversation) to wander from the subject,inconstancy,0.1407,0.2184,False,False,False
scratch,systems flow chart,-0.1004,-0.1288,False,False,False
rigid,partial,0.2104,-0.01387,False,False,False
provisional designation,inn,0.1096,-0.00833,False,False,False
symmetric key cryptography,rebounded wave,0.02362,0.1603,False,False,False
all eyes,differ,0.215,0.002792,False,False,False
love-letter,written order,0.392,0.3005,False,False,False
overt,rid_of,0.3176,0.624,False,True,True
unseemliness,poor taste,0.2622,0.542,False,True,False
découpage,they,0.1532,-0.06665,False,False,False
double_cross,chimney (narrow cleft used to climb a rock face),0.1353,-0.09436,False,False,False
turn_out,bridge,0.2095,0.1814,False,False,False
irregular,sitting in the open air,0.1576,-0.04565,False,False,False
well,ill,0.309,-0.1511,False,False,False
to disarrange,to disarrange,0.9995,1.0,True,True,True
ground_stroke,sale,0.089,-0.05777,False,False,False
royalty,money (one is carrying),0.2306,0.1238,False,False,False
three box-shaped things,caldera,0.08673,0.03903,False,False,False
quintic equation,decarbonation,0.162,0.2375,False,False,False
undetermined,sure,0.1527,-0.0313,False,False,False
trouble,Rocky,0.2827,0.1565,False,False,False
table tennis club,straight,0.1372,0.02963,False,False,False
set_back,end,0.1711,0.1154,False,False,False
yes,nearly,0.4072,0.0844,False,False,False
encryption technology,dum-dum ammunition,0.1292,0.07117,False,False,False
take_up,serum injection,0.10547,0.205,False,False,False
student,indoor,0.2605,0.09174,False,False,False
inclination,kitchen utensils,0.01936,0.003317,False,False,False
suzerain state,common,0.0842,0.002829,False,False,False
earth and stones,card with the lyrics to a song,0.1664,-0.0626,False,False,False
nonalignment,to leave the nest,0.1987,-0.0324,False,False,False
war crime,cessation of sales,0.07025,-0.03653,False,False,False
congratulation,celebration,0.3713,0.755,False,True,True
disconnectedness,indication,0.1375,0.1417,False,False,False
doing (with resolve),doing (with resolve),1.001,1.0,True,True,True
cruelty to animals,evacuation,0.11444,0.1761,False,False,False
cumulative remainder,"tip of an ear (of wheat, etc.)",0.02798,0.02626,False,False,False
to discover,fonio (Digitaria exilis),0.1353,-0.0378,False,False,False
other business,black and white,0.2451,-0.05173,False,False,False
moratorium on debts,powerful medicine,0.04968,-0.01092,False,False,False
dead space,sector without fire,0.2382,0.3142,False,False,True
rabbit hunting,apathetic person,0.1126,0.0471,False,False,False
naturalistic fallacy,biological response modifier,0.2433,-0.04233,False,False,False
considerably,fairly,0.667,0.89,True,True,True
from a hygiene standpoint,in terms of hygiene,0.792,0.862,True,True,True
dysgenics,cosmic radio waves,0.05148,0.1676,False,False,False
to be resourceful,degree of integration (e.g. components per chip),-0.02061,0.0381,False,False,False
you,disesteem,0.2191,-0.0621,False,False,False
alpha and omega,strange to tell,0.06207,-0.1138,False,False,False
edge,infant (below 1 year old),0.0888,-0.11066,False,False,False
using make-up,introductory kabuki performance (to introduce the actors),0.1515,0.08,False,False,False
certainly,booster jab,0.1534,-0.006523,False,False,False
district,complete fabrication,0.1642,-0.09546,False,False,False
to put on weight,throw (of a switch),0.10645,-0.2007,False,False,False
hill country,big business,0.1815,0.0748,False,False,False
"running ground pine (species of club moss, Lycopodium clavatum)",reigning (over a country),0.02682,0.014244,False,False,False
futurologist,to excavate,0.173,0.01233,False,False,False
written,character printer,0.2047,0.05264,False,False,False
organic cultivation,organic cultivation,1.0,1.0,True,True,True
Pacific,laws and regulations,0.1427,-0.02081,False,False,False
common whitefish (Coregonus lavaretus),hair style where the hair is tied up in a bundle on the back of the head (resembling the shape of a tea whisk),0.08685,0.08044,False,False,False
proud,orangutan (Pongo pygmaeus),0.1009,0.04636,False,False,False
end of the rice harvest,beater (on a hunt),0.0894,0.01753,False,False,False
"water, power and heating cost","water, power and heating cost",1.0,0.9995,True,True,True
charity box,affectionate mother,0.0887,0.1206,False,False,False
saw sam sai (three-stringed Thai fiddle),memory module,-0.00784,-0.0968,False,False,False
person born in the year of the Tiger,tax-inclusive pricing,-0.03818,-0.1209,False,False,False
Japanese wolf (Canis lupus hodophilax; extinct),imagination,0.0618,-0.005,False,False,False
reader (textbook),income,0.137,-0.0685,False,False,False
clumsy,clumsy,1.0,1.0,True,True,True
device,device,0.9995,1.0,True,True,True
choice,option,0.679,0.8687,True,True,True
earwig,to make someone say,0.1877,0.03677,False,False,False
wearing one garment over another,to practice (a song) repeatedly,0.1368,-0.01331,False,False,False
world of sports,die_out,0.1646,0.03114,False,False,False
manufacturing cost,missing important things here and there,0.013405,-0.1436,False,False,False
to eat,jeweler,0.11316,-0.04263,False,False,False
prisoner of conscience,act_on,0.12427,-0.01672,False,False,False
segregation,Hitomebore (variety of rice),0.0959,-0.06085,False,False,False
food poisoning,push-button switch,0.0227,-0.139,False,False,False
anger,anger,1.0,1.0,True,True,True
center of excellence,set,0.1329,-0.02078,False,False,False
solar power,adapting oneself to the requirements of the moment,0.0773,-0.04367,False,False,False
knocking all into one,progress,0.1755,0.1027,False,False,False
hexagram,best,0.1487,0.02747,False,False,False
day and date,gourd (container),0.11707,-0.0318,False,False,False
(pair of) calipers,insulating tape,0.04895,-0.01979,False,False,False
syllogism,three sons,0.1454,-0.0722,False,False,False
hot rodder,Typha orientalis,0.1654,0.04434,False,False,False
encouragement to study,to make a distinction (between),0.1161,0.076,False,False,False
"special issue (of a magazine, etc.)",Japan Amateur Sports Association,0.1035,-0.02295,False,False,False
passive voice,to visit (someone) in hospital,0.0825,-0.005962,False,False,False
"light torso armour opening at the right, originally used for infantry combat",Takarazuka Revue,0.02971,-0.195,False,False,False
partly,remote echo,0.014565,-0.001599,False,False,False
to season (lumber),failing,0.122,-0.05072,False,False,False
Ikuei Junior College,Hitotsubashi University,0.4949,0.1536,True,False,False
self-centered man,pompous man,0.4197,0.7837,False,True,True
to hold (someone) down by twisting their arm,weather,0.0672,-0.3044,False,False,False
subscript,at (great) length,0.1126,-0.0895,False,False,False
to buy online,nuisance call,0.0633,-0.177,False,False,False
C minor,making too much,0.1282,-0.09674,False,False,False
forgetting to mention,sex maniac,0.2603,-0.0694,False,False,False
regulations,regulations,1.0,1.0,True,True,True
peasantry,overshoot,0.0967,0.0476,False,False,False
note,correspondence,0.1771,0.5903,False,True,True
gas,gas,1.0,1.0,True,True,True
"10,000 yen note",popular song,0.10236,0.2188,False,False,False
dressing oneself,fictitious stock,0.1031,-0.01196,False,False,False
Military Service Law (1927-1945),tell_apart,0.04666,0.0337,False,False,False
to stimulate,to stir up,0.5977,0.8467,True,True,True
what's the matter?,throwing down,0.1893,-0.157,False,False,False
Niigata College of Nursing,numerical diffusion,0.02155,0.094,False,False,False
cornered bird,unfamiliar,0.1874,-0.002888,False,False,False
valuable,precocious child,0.1887,0.04965,False,False,False
subsidy,disincentive,0.1652,0.00792,False,False,False
to raid,unfashionable,0.1478,0.03738,False,False,False
to require,toll of a bell,0.108,-0.1472,False,False,False
accessible,unapproachable,0.3984,0.01732,False,False,False
outdoor gambling,obvious,0.1935,-0.1483,False,False,False
involvement,pretend play,0.2834,0.0863,False,False,False
Iron Cross,dullness,0.1287,-0.1636,False,False,False
de-energise,break,0.0942,-0.11456,False,False,False
decline,better,0.246,-0.2489,False,False,False
made-to-order production,adding up,0.1141,0.1307,False,False,False
pilot logbook,aircraft technical logbook,0.8223,0.734,True,True,True
to get (someone) drunk,disagree,0.1179,0.11896,False,False,False
to jump,menstrual irregularity,-0.0405,-0.01726,False,False,False
to garnish,the Inquisition,0.3435,-0.04135,False,False,False
audience (with someone of high standing),No Longer Human (1948 novel by Osamu Dazai),0.00591,-0.02272,False,False,False
believer,gas engine,0.1011,-0.09485,False,False,False
diarrhoea,beautiful scenery,0.1602,-0.1332,False,False,False
triumphant,That's Entertainment (film),0.2024,0.0845,False,False,False
wiping,wet,0.5093,0.1282,True,False,False
e-signature,unfair,0.0968,-0.02136,False,False,False
jangling,clinking,0.3699,0.9214,False,True,True
on the basis of,shut_up,0.1221,0.03485,False,False,False
red light (traffic),biohazard,0.11285,0.1223,False,False,False
intellectual disability,Roeber,0.1236,-0.09814,False,False,False
southern lands,wire-puller,0.01689,-0.00989,False,False,False
to become adult,passing,0.2668,-0.014854,False,False,False
"becoming employed by a government office, agency, board, etc.",mike stand,-0.08673,-0.10876,False,False,False
failure,snow field,0.1366,-0.03061,False,False,False
civilization,verismo (esp. opera),0.11615,0.0668,False,False,False
calabash,crisply,0.2018,0.1284,False,False,False
to open one's eyes slightly,better,0.1761,0.2207,False,False,False
change,"going flat (of a carbonated drink, beer, etc.)",0.0779,0.002748,False,False,False
appellate court,idle,0.1726,-0.0973,False,False,False
no-paper society,interpretation,0.0624,-0.1215,False,False,False
to become clear,tearing,0.22,-0.232,False,False,False
junior welter (weight),art bike,0.1048,-0.04825,False,False,False
to assort,bipedal,0.1853,0.1268,False,False,False
pedestrian bridge,pedestrian overpass,0.721,0.7197,True,True,True
suddenly,information transmission,0.1442,0.0339,False,False,False
adultery,conformance log,0.10486,0.0643,False,False,False
summer vacation,wing (of a building),0.05634,-0.05414,False,False,False
anti-god,demigods that fight the Devas (gods) in Hindu mythology,0.265,0.6504,False,True,True
context-free language,birthplace,0.09064,-0.11523,False,False,False
to have a secret revealed,Ceres (goddess),0.157,0.08673,False,False,False
to be bent on making trouble,to draw up (a document),0.2262,0.00372,False,False,False
direct,tool (software),0.1302,0.1407,False,False,False
to signify,to prepare oneself,0.4077,0.4768,False,True,False
paper cover,therapeutic,0.10895,-0.1119,False,False,False
to be dumbfounded,to be stunned,0.5728,0.812,True,True,True
worldly affairs,cares of life,0.3447,0.568,False,True,True
pit,machine code,0.06174,-0.1564,False,False,False
tight,loose,0.646,0.0363,True,False,False
to clear (the table),stiffness,0.09174,-0.217,False,False,False
tremendous,tame,0.294,-0.10626,False,False,False
paddle,to fall for (something),0.1171,-0.07965,False,False,False
management of an enterprise by employees,act_on,0.06204,0.0813,False,False,False
pile,stack_up,0.4143,0.8525,False,True,True
community centre,traditional lacquered conical hat,0.0369,-0.1377,False,False,False
chordophone,Vertebrata,0.2922,0.4219,False,False,False
national event,fee,0.1274,0.01717,False,False,False
mung bean milk,murderer,0.1076,-0.1227,False,False,False
attendance,district of Tokyo where most of Japan's government ministry offices are located,0.0814,-0.0907,False,False,False
middle,unbearable,0.2654,-0.07355,False,False,False
being password-protected,fair trade,0.1044,-0.02965,False,False,False
"two or more groups, esp. female and male students, combining for a party",one's turn,0.08795,0.224,False,False,False
consideration for others,indefinite,0.1764,-0.1153,False,False,False
unsteady,steady,0.5503,-0.0541,True,False,False
to grapple,area,0.1658,-0.0917,False,False,False
careful,careful,0.9995,0.9995,True,True,True
Hell,to have no engagements,0.2129,0.0972,False,False,False
detestable,"consultation on career, university, etc. choices",0.00219,-0.07935,False,False,False
to spy on,right,0.1676,-0.0838,False,False,False
osotogari (judo),major sweeping leg throw,0.201,0.518,False,True,True
viscous,married woman,0.1532,0.02666,False,False,False
to rob (someone) of,exactly,0.1763,-0.004837,False,False,False
that ...,undeniably,0.1954,0.0814,False,False,False
horse race,testicles,0.08484,-0.067,False,False,False
rapid firing,out of fashion,0.2156,0.0679,False,False,False
to be detained by,policeman's rope (used for restraining criminals),0.3235,0.1499,False,False,False
itemization,to ebb,0.1909,-0.131,False,False,False
transvestite,permission,0.04913,-0.1312,False,False,False
by no means,misfortune,0.1665,-0.01878,False,False,False
tyramine,wool,0.2258,0.2384,False,False,False
alluring,red-eared slider turtle,0.1244,-0.0481,False,False,False
"relating (one's feelings, reminiscences, etc.)","relating (one's feelings, reminiscences, etc.)",1.001,1.001,True,True,True
wording,for a long time,0.2291,-0.03735,False,False,False
professional wrestling move,mountain mist,-0.07794,-0.2238,False,False,False
peak (e.g. of cherry blossom season),repatriate,4.23e-06,-0.06384,False,False,False
some time or other,in due course,0.3027,0.5337,False,True,True
surgical knife,telephone card,0.1111,0.0557,False,False,False
diverse,conflicting,0.283,0.6846,False,True,True
draper,handmade,0.2915,0.259,False,False,False
cade juniper,Kyōto Junior College,0.2296,-0.0667,False,False,False
deportation,deportation,1.0,1.001,True,True,True
the whole story,stabbing,0.2162,-0.04224,False,False,False
fickleness,fickleness,1.0,1.0,True,True,True
supply of power,turning on electricity,0.4229,0.734,False,True,True
evangelism,aeolian soil,0.0986,0.08057,False,False,False
hangout for social dropouts,"Delhi dynasties (the Mamluk, Khilji, Tughlaq, Sayyid, and Lodi dynasties of India)",-0.047,-0.128,False,False,False
silk yarn,to run into,0.05872,-0.0887,False,False,False
swap area,false rumour,0.00908,-0.1163,False,False,False
unusual sight,heir-at-law,0.1259,-0.002882,False,False,False
mischievous trick,to beg off doing,0.2407,0.0493,False,False,False
Lycos,riser card,0.09174,-0.015175,False,False,False
dime novelist,every night,0.1348,0.06445,False,False,False
qualification (e.g. of a noun with an adjective),figurative expression,0.09467,0.616,False,True,True
weeds beneath a tree,executable statement,0.1338,-0.02527,False,False,False
purified water,to hoot,0.08954,-0.0676,False,False,False
seems to be,elaborate but slow execution,0.1373,-0.04517,False,False,False
explicable,engagement,0.2103,0.03064,False,False,False
bartender,charity,0.2242,0.1267,False,False,False
to spoil,to lose,0.657,0.5376,True,True,True
domestic trouble,clioquinol (sterilizing agent),0.036,-0.1643,False,False,False
tired out,to blend (something) in,0.0868,-0.1595,False,False,False
konghou (ancient Chinese harp),feeling apprehensive,-0.02924,0.01607,False,False,False
vacantly,variable,0.1216,-0.10077,False,False,False
dust jacket,wrapper,0.3027,0.6025,False,True,True
spreading one's legs wide apart,"to slip into (a place) for the purposes of having sex (e.g. a lover's house, hotel, red light district)",0.135,0.0396,False,False,False
field of flowers,mercy,0.1901,0.0483,False,False,False
moving,vest,0.2471,-0.01677,False,False,False
Hawaiian ladyfish (Elops hawaiensis),neutrino astronomy,-0.003294,0.02113,False,False,False
remargin,remargining,0.8633,0.9067,True,True,True
Polygonaceae (knotweed or smartweed family of plants),wrybill (Anarhynchus frontalis),0.3396,-0.0764,False,False,False
long toe,peevish,0.1962,0.06027,False,False,False
Fronde (series of French civil wars; 1648-1653),to lie thick,-0.01985,-0.1009,False,False,False
ill,logical structure editing process,0.0875,-0.0302,False,False,False
flash_back,"rhythmically (beating, e.g. gong)",-0.0012665,0.0408,False,False,False
breadboard,multiprocessor,0.1735,-0.0892,False,False,False
in proportion to,digging,0.1288,-0.1,False,False,False
halfpipe,cholecalciferol,0.1617,0.1019,False,False,False
shell,"he who knows, does not speak; he who speaks, does not know",0.076,-0.1727,False,False,False
member of a sexual minority,farness,0.179,0.0437,False,False,False
to earn,woman,0.2131,0.0546,False,False,False
each day,habit of idleness (laziness),0.2098,0.1261,False,False,False
individual play,non-cooperation,0.2668,0.4075,False,False,True
detection,guzheng (type of ancient Chinese zither),0.02902,-0.00988,False,False,False
risk,mortal,0.2517,0.2866,False,False,False
sexual liaison,full story,0.1344,0.10254,False,False,False
old master,background,0.195,0.0648,False,False,False
Welsh (language),vague,0.10986,0.2732,False,False,False
reception of an order (of merit),cancer of the oropharynx,-0.03497,0.0755,False,False,False
