text1,text2,pred,truth
groovy,direct,0.2507,False
uneager,flannelette,-0.0324,False
suddenly,lingering winter,-0.2192,False
move,to break the seal,-0.1283,False
Zen Buddhism based on the teachings of Bodhidharma,entertaining film,0.03555,False
keepie-ups,to bend (with great force),0.03168,False
worth,disrespect,-0.10986,False
binding,three,-0.007458,False
to catch fire,"ban on entering (a building, venue, etc.)",-0.02745,False
Torah,keep_off,0.00466,False
respectfully presenting,polyphony (of an electronic keyboard or synthesizer),-0.1677,False
unfamiliar,in addition to that,0.03888,False
discharge,period after orgasm when a man is free from sexual desire and can think clearly,0.0632,False
female escort,end-of-file,0.1877,False
unapproachability,murder,-0.0129,False
each county,match,-0.0308,False
current price,somnolence,-0.09644,False
vagrant,sharpen,-0.01332,False
"paste made from paulownia sawdust and wheat starch (used in traditional doll-making, etc.)",linguistic,-0.0705,False
fall day,punctuated equilibrium (theory of evolutionary biology),0.0433,False
integrity,term of payment,0.01039,False
go_down,particles,-0.02362,False
just,inexactly,-0.261,False
slovenly,completely,0.0653,False
"Chinese ""stomach"" constellation (one of the 28 mansions)",hallo,-0.1832,False
crash,measuring method,-0.07666,False
bread machine,being offended,-0.1252,False
unconsciously,to come up from below the stage (by being lifted up on the stage elevator),-0.02158,False
power of the office of the President (of the House of Councillors),curvatura ventriculi minor,0.0662,False
to write,to write,1.0,True
enormous,tremendous,0.876,True
noctuid,opening of a ceremony,-0.06256,False
whiff,Madrid system (for international trademarks),-0.04062,False
deficiency,imperfection,0.7124,True
honest,clear_away,0.5913,True
increase and decrease,bringing to the fore,0.185,False
HEBUST,recuperate,-0.0762,False
squished flat,sticky,0.2157,False
penury,Echinodermata (phylum of marine invertebrates),0.03818,False
Maori,class,-0.09515,False
sluggish,as before,-0.01726,False
attachment,branch_out,0.2477,False
free drink,pilot,0.0639,False
coast guard,half a month,0.0848,False
"traditional unit of area, approx 0.33 square meters",foreign exchange reserves,0.01381,False
vigorously,to cross the line,-0.0561,False
color of daybreak,wear_off,-0.014595,False
windshield,to hold back (e.g. tears),0.002687,False
beginning tag,starting tag,0.892,True
village elder,to rain harder,0.11584,False
flat,to take measures,-0.1824,False
machine-printing,(online) comment,-0.05753,False
freeze,most important task,0.0604,False
penniless,flat broke,0.7397,True
pen and ink,new left,-0.0749,False
looking up,dispirited,0.01409,False
salaried employee,mercilessly,-0.05487,False
promising (future),discontented,0.04068,False
oribi (Ourebia ourebi),suni (Neotragus moschatus),0.05768,False
lady writer,walk_around,-0.00888,False
texture,closing,0.02809,False
St Elmo's fire,key customize,0.0785,False
looks,look_up,0.92,True
"giant pygmy goby (Trimma gigantum, fish found in Palau)",The Stand (book),0.02808,False
to be contented,husband,0.0372,False
conceit,industrial park,-0.12036,False
to feel refreshed,ice color,0.08655,False
fluorocarbon polymer,store name,-0.0855,False
crowd of people,dwarf,0.1213,False
die_down,uncharacteristic,-0.0998,False
to suffer,to suffer,1.0,True
testicle,testicle,1.0,True
loose,influenza,0.0909,False
investigation,answer,0.006065,False
to gain strength,phenomenal,-0.0652,False
beautiful face,barbarians,0.005688,False
electromagnetic shower,"producer (of film, theatre, TV, etc.)",-0.0323,False
great,reorganisation,0.01553,False
rear,fairly,0.03928,False
offering price,online lesson,-0.08154,False
one's face,one's honour,0.569,True
there,that place,0.6465,True
to play one's last card,foosball,0.04977,False
stubborn and mean,conidial,0.3347,False
I'm sorry,excuse me,0.748,True
brake light,light brown,0.3083,False
transport administration,embodiment,-0.06415,False
as necessary (needed),parched-barley tea,0.00877,False
huge breasts,slender sunfish (Ranzania laevis),-0.07794,False
available,client-server model,0.00726,False
uncomplaining,soba water,-0.01458,False
without a break,even,0.2607,False
opening session,not made public,0.2242,False
dying whisper,supernatural,0.307,False
the said committee,firelight,-0.015305,False
lady,to line one's pockets,-0.02948,False
stone wall,conserve,0.0589,False
mobility,unadaptability,-0.07666,False
spurring on,(business) card tray,-0.1699,False
pretty,unreasonably,-0.089,False
"the four ways of birth (from a womb, an egg, moisture or spontaneously)",physical distribution,0.2008,False
becoming part of the standard inventory (of a product),war of extermination,-0.01779,False
edification,go_to_bed,0.0411,False
global citizen,citizen of the earth,0.597,True
weather-proof,forest protection,0.3489,False
investment environment,supercar,-0.076,False
to describe,to describe,1.001,True
division,mound made in the image of Mt. Fuji,0.0692,False
to dig up,demineralization,-0.03558,False
burnished finish,freezing rain,0.0908,False
to get angry,to get angry,1.0,True
passable,so-so,0.5317,True
inertness,excellent plan,-0.05292,False
small-minded,low voltage,0.2002,False
having presence of mind,figure_out,0.279,False
part-time staff,outflow of refugees,-0.0734,False
unhealthy,normal,-0.03433,False
palm lily,palm lily,1.0,True
I hope,to outdistance,-0.03766,False
excessive,partygoer,-0.006508,False
syrup,NPO law,0.01482,False
enemy,enemy,0.9995,True
florist,honey bee,0.1865,False
wholly,quotient,-0.08575,False
theoretically,overthrow (e.g. of a government),-0.0832,False
turn (melodic ornament),gruppetto,0.4004,True
damages,settlement,0.499,True
well,meagerly,-0.2052,False
stirring up a hornet's nest,sound,-0.1685,False
emulation,cooperation,0.2544,False
national prestige,trademark,0.2578,False
on the road,in the street,0.551,True
business card,distortion in the weave of a fabric,-0.04678,False
optic aphasia,hand_down,-0.0222,False
spring onion,messenger,-0.04657,False
English writing,upper step,-0.0882,False
Social Insurance Agency,Harijan (member of India's untouchable caste),-0.0735,False
demerit,query channel,-0.002956,False
boxing (putting a value in a wrapper type),closing,0.0579,False
memorial,safari jacket,-0.0832,False
recognizably,unaffected,-0.046,False
gas range,without exception,0.00322,False
scolding,reprimand,0.749,True
tea set,cross-platform transfer,-0.0937,False
dust cover,calendar method,-0.0178,False
zone,zone,0.9995,True
internetwork,affixing a seal,-0.0877,False
(for a conversation) to wander from the subject,inconstancy,0.2184,False
scratch,systems flow chart,-0.1288,False
rigid,partial,-0.01387,False
provisional designation,inn,-0.00833,False
symmetric key cryptography,rebounded wave,0.1603,False
all eyes,differ,0.002792,False
love-letter,written order,0.3005,False
overt,rid_of,0.624,True
unseemliness,poor taste,0.542,False
découpage,they,-0.06665,False
double_cross,chimney (narrow cleft used to climb a rock face),-0.09436,False
turn_out,bridge,0.1814,False
irregular,sitting in the open air,-0.04565,False
well,ill,-0.1511,False
to disarrange,to disarrange,1.0,True
ground_stroke,sale,-0.05777,False
royalty,money (one is carrying),0.1238,False
three box-shaped things,caldera,0.03903,False
quintic equation,decarbonation,0.2375,False
undetermined,sure,-0.0313,False
trouble,Rocky,0.1565,False
table tennis club,straight,0.02963,False
set_back,end,0.1154,False
yes,nearly,0.0844,False
encryption technology,dum-dum ammunition,0.07117,False
take_up,serum injection,0.205,False
student,indoor,0.09174,False
inclination,kitchen utensils,0.003317,False
suzerain state,common,0.002829,False
earth and stones,card with the lyrics to a song,-0.0626,False
nonalignment,to leave the nest,-0.0324,False
war crime,cessation of sales,-0.03653,False
congratulation,celebration,0.755,True
disconnectedness,indication,0.1417,False
doing (with resolve),doing (with resolve),1.0,True
cruelty to animals,evacuation,0.1761,False
cumulative remainder,"tip of an ear (of wheat, etc.)",0.02626,False
to discover,fonio (Digitaria exilis),-0.0378,False
other business,black and white,-0.05173,False
moratorium on debts,powerful medicine,-0.01092,False
dead space,sector without fire,0.3142,True
rabbit hunting,apathetic person,0.0471,False
naturalistic fallacy,biological response modifier,-0.04233,False
considerably,fairly,0.89,True
from a hygiene standpoint,in terms of hygiene,0.862,True
dysgenics,cosmic radio waves,0.1676,False
to be resourceful,degree of integration (e.g. components per chip),0.0381,False
you,disesteem,-0.0621,False
alpha and omega,strange to tell,-0.1138,False
edge,infant (below 1 year old),-0.11066,False
using make-up,introductory kabuki performance (to introduce the actors),0.08,False
certainly,booster jab,-0.006523,False
district,complete fabrication,-0.09546,False
to put on weight,throw (of a switch),-0.2007,False
hill country,big business,0.0748,False
"running ground pine (species of club moss, Lycopodium clavatum)",reigning (over a country),0.014244,False
futurologist,to excavate,0.01233,False
written,character printer,0.05264,False
organic cultivation,organic cultivation,1.0,True
Pacific,laws and regulations,-0.02081,False
common whitefish (Coregonus lavaretus),hair style where the hair is tied up in a bundle on the back of the head (resembling the shape of a tea whisk),0.08044,False
proud,orangutan (Pongo pygmaeus),0.04636,False
end of the rice harvest,beater (on a hunt),0.01753,False
"water, power and heating cost","water, power and heating cost",0.9995,True
charity box,affectionate mother,0.1206,False
saw sam sai (three-stringed Thai fiddle),memory module,-0.0968,False
person born in the year of the Tiger,tax-inclusive pricing,-0.1209,False
Japanese wolf (Canis lupus hodophilax; extinct),imagination,-0.005,False
reader (textbook),income,-0.0685,False
clumsy,clumsy,1.0,True
device,device,1.0,True
choice,option,0.8687,True
earwig,to make someone say,0.03677,False
wearing one garment over another,to practice (a song) repeatedly,-0.01331,False
world of sports,die_out,0.03114,False
manufacturing cost,missing important things here and there,-0.1436,False
to eat,jeweler,-0.04263,False
prisoner of conscience,act_on,-0.01672,False
segregation,Hitomebore (variety of rice),-0.06085,False
food poisoning,push-button switch,-0.139,False
anger,anger,1.0,True
center of excellence,set,-0.02078,False
solar power,adapting oneself to the requirements of the moment,-0.04367,False
knocking all into one,progress,0.1027,False
hexagram,best,0.02747,False
day and date,gourd (container),-0.0318,False
(pair of) calipers,insulating tape,-0.01979,False
syllogism,three sons,-0.0722,False
hot rodder,Typha orientalis,0.04434,False
encouragement to study,to make a distinction (between),0.076,False
"special issue (of a magazine, etc.)",Japan Amateur Sports Association,-0.02295,False
passive voice,to visit (someone) in hospital,-0.005962,False
"light torso armour opening at the right, originally used for infantry combat",Takarazuka Revue,-0.195,False
partly,remote echo,-0.001599,False
to season (lumber),failing,-0.05072,False
Ikuei Junior College,Hitotsubashi University,0.1536,False
self-centered man,pompous man,0.7837,True
to hold (someone) down by twisting their arm,weather,-0.3044,False
subscript,at (great) length,-0.0895,False
to buy online,nuisance call,-0.177,False
C minor,making too much,-0.09674,False
forgetting to mention,sex maniac,-0.0694,False
regulations,regulations,1.0,True
peasantry,overshoot,0.0476,False
note,correspondence,0.5903,True
gas,gas,1.0,True
"10,000 yen note",popular song,0.2188,False
dressing oneself,fictitious stock,-0.01196,False
Military Service Law (1927-1945),tell_apart,0.0337,False
to stimulate,to stir up,0.8467,True
what's the matter?,throwing down,-0.157,False
Niigata College of Nursing,numerical diffusion,0.094,False
cornered bird,unfamiliar,-0.002888,False
valuable,precocious child,0.04965,False
subsidy,disincentive,0.00792,False
to raid,unfashionable,0.03738,False
to require,toll of a bell,-0.1472,False
accessible,unapproachable,0.01732,False
outdoor gambling,obvious,-0.1483,False
involvement,pretend play,0.0863,False
Iron Cross,dullness,-0.1636,False
de-energise,break,-0.11456,False
decline,better,-0.2489,False
made-to-order production,adding up,0.1307,False
pilot logbook,aircraft technical logbook,0.734,True
to get (someone) drunk,disagree,0.11896,False
to jump,menstrual irregularity,-0.01726,False
to garnish,the Inquisition,-0.04135,False
audience (with someone of high standing),No Longer Human (1948 novel by Osamu Dazai),-0.02272,False
believer,gas engine,-0.09485,False
diarrhoea,beautiful scenery,-0.1332,False
triumphant,That's Entertainment (film),0.0845,False
wiping,wet,0.1282,False
e-signature,unfair,-0.02136,False
jangling,clinking,0.9214,True
on the basis of,shut_up,0.03485,False
red light (traffic),biohazard,0.1223,False
intellectual disability,Roeber,-0.09814,False
southern lands,wire-puller,-0.00989,False
to become adult,passing,-0.014854,False
"becoming employed by a government office, agency, board, etc.",mike stand,-0.10876,False
failure,snow field,-0.03061,False
civilization,verismo (esp. opera),0.0668,False
calabash,crisply,0.1284,False
to open one's eyes slightly,better,0.2207,False
change,"going flat (of a carbonated drink, beer, etc.)",0.002748,False
appellate court,idle,-0.0973,False
no-paper society,interpretation,-0.1215,False
to become clear,tearing,-0.232,False
junior welter (weight),art bike,-0.04825,False
to assort,bipedal,0.1268,False
pedestrian bridge,pedestrian overpass,0.7197,True
suddenly,information transmission,0.0339,False
adultery,conformance log,0.0643,False
summer vacation,wing (of a building),-0.05414,False
anti-god,demigods that fight the Devas (gods) in Hindu mythology,0.6504,True
context-free language,birthplace,-0.11523,False
to have a secret revealed,Ceres (goddess),0.08673,False
to be bent on making trouble,to draw up (a document),0.00372,False
direct,tool (software),0.1407,False
to signify,to prepare oneself,0.4768,False
paper cover,therapeutic,-0.1119,False
to be dumbfounded,to be stunned,0.812,True
worldly affairs,cares of life,0.568,True
pit,machine code,-0.1564,False
tight,loose,0.0363,False
to clear (the table),stiffness,-0.217,False
tremendous,tame,-0.10626,False
paddle,to fall for (something),-0.07965,False
management of an enterprise by employees,act_on,0.0813,False
pile,stack_up,0.8525,True
community centre,traditional lacquered conical hat,-0.1377,False
chordophone,Vertebrata,0.4219,False
national event,fee,0.01717,False
mung bean milk,murderer,-0.1227,False
attendance,district of Tokyo where most of Japan's government ministry offices are located,-0.0907,False
middle,unbearable,-0.07355,False
being password-protected,fair trade,-0.02965,False
"two or more groups, esp. female and male students, combining for a party",one's turn,0.224,False
consideration for others,indefinite,-0.1153,False
unsteady,steady,-0.0541,False
to grapple,area,-0.0917,False
careful,careful,0.9995,True
Hell,to have no engagements,0.0972,False
detestable,"consultation on career, university, etc. choices",-0.07935,False
to spy on,right,-0.0838,False
osotogari (judo),major sweeping leg throw,0.518,True
viscous,married woman,0.02666,False
to rob (someone) of,exactly,-0.004837,False
that ...,undeniably,0.0814,False
horse race,testicles,-0.067,False
rapid firing,out of fashion,0.0679,False
to be detained by,policeman's rope (used for restraining criminals),0.1499,False
itemization,to ebb,-0.131,False
transvestite,permission,-0.1312,False
by no means,misfortune,-0.01878,False
tyramine,wool,0.2384,False
alluring,red-eared slider turtle,-0.0481,False
"relating (one's feelings, reminiscences, etc.)","relating (one's feelings, reminiscences, etc.)",1.001,True
wording,for a long time,-0.03735,False
professional wrestling move,mountain mist,-0.2238,False
peak (e.g. of cherry blossom season),repatriate,-0.06384,False
some time or other,in due course,0.5337,True
surgical knife,telephone card,0.0557,False
diverse,conflicting,0.6846,True
draper,handmade,0.259,False
cade juniper,Kyōto Junior College,-0.0667,False
deportation,deportation,1.001,True
the whole story,stabbing,-0.04224,False
fickleness,fickleness,1.0,True
supply of power,turning on electricity,0.734,True
evangelism,aeolian soil,0.08057,False
hangout for social dropouts,"Delhi dynasties (the Mamluk, Khilji, Tughlaq, Sayyid, and Lodi dynasties of India)",-0.128,False
silk yarn,to run into,-0.0887,False
swap area,false rumour,-0.1163,False
unusual sight,heir-at-law,-0.002882,False
mischievous trick,to beg off doing,0.0493,False
Lycos,riser card,-0.015175,False
dime novelist,every night,0.06445,False
qualification (e.g. of a noun with an adjective),figurative expression,0.616,True
weeds beneath a tree,executable statement,-0.02527,False
purified water,to hoot,-0.0676,False
seems to be,elaborate but slow execution,-0.04517,False
explicable,engagement,0.03064,False
bartender,charity,0.1267,False
to spoil,to lose,0.5376,True
domestic trouble,clioquinol (sterilizing agent),-0.1643,False
tired out,to blend (something) in,-0.1595,False
konghou (ancient Chinese harp),feeling apprehensive,0.01607,False
vacantly,variable,-0.10077,False
dust jacket,wrapper,0.6025,True
spreading one's legs wide apart,"to slip into (a place) for the purposes of having sex (e.g. a lover's house, hotel, red light district)",0.0396,False
field of flowers,mercy,0.0483,False
moving,vest,-0.01677,False
Hawaiian ladyfish (Elops hawaiensis),neutrino astronomy,0.02113,False
remargin,remargining,0.9067,True
Polygonaceae (knotweed or smartweed family of plants),wrybill (Anarhynchus frontalis),-0.0764,False
long toe,peevish,0.06027,False
Fronde (series of French civil wars; 1648-1653),to lie thick,-0.1009,False
ill,logical structure editing process,-0.0302,False
flash_back,"rhythmically (beating, e.g. gong)",0.0408,False
breadboard,multiprocessor,-0.0892,False
in proportion to,digging,-0.1,False
halfpipe,cholecalciferol,0.1019,False
shell,"he who knows, does not speak; he who speaks, does not know",-0.1727,False
member of a sexual minority,farness,0.0437,False
to earn,woman,0.0546,False
each day,habit of idleness (laziness),0.1261,False
individual play,non-cooperation,0.4075,True
detection,guzheng (type of ancient Chinese zither),-0.00988,False
risk,mortal,0.2866,False
sexual liaison,full story,0.10254,False
old master,background,0.0648,False
Welsh (language),vague,0.2732,False
reception of an order (of merit),cancer of the oropharynx,0.0755,False
Mooncake Festival,scholar's rock,0.05234,False
meaning,call_out,0.628,True
excess-,to all come in (e.g. teeth),-0.06573,False
seaside,"permanent storage (radioactives, data, etc.)",-0.0929,False
reasonable doubt,gusuku (Okinawan castle or fortress),0.04388,False
best,best,0.9995,True
bicycle trial,bicycle,0.3608,False
Tigrinya (language),to walk down the road,-0.0594,False
"court of law in the Edo period, in which the parties sat on white sand",white miso,0.1702,False
being killed in the line of duty,awful,0.2559,False
oneself,battery,0.1677,False
tolerant,degaussing,-0.089,False
swindler,easy-going,0.05862,False
"palelipped surgeonfish (Acanthurus leucocheilus, species of Indo-Pacific tang)",gold dust,0.10626,False
sharing the same sentiment with someone,sharing the same sentiment with someone,0.9995,True
fifty,fifty,0.9995,True
brilliant,better,0.2128,False
refreshing,further,0.1957,False
to pass on (a message),the new left (school of thought),0.02834,False
priesthood registry,younger pupil (of the same master),-0.01444,False
spread,invariability,0.1559,False
to be overawed,legacy of the past,0.07166,False
bladder,lower larynx,0.2964,False
decentralize,fake,-0.0695,False
tackling (to the ground),heresy,-0.02386,False
details,"um, OK...",0.02599,False
little sister,younger sister,0.6465,True
eight-tenths,piling up high (food in a bowl),0.1404,False
to be contrary to,landlord,-0.007114,False
boiling-water reactor,dangerous spot,-0.0443,False
to defend,from one side of Edo to the other,-0.0184,False
isolation cell,hubcap,0.06027,False
private viewing,PET bottle,-0.0832,False
catapult,buttocks,0.0993,False
vertical,unerect,-0.0812,False
merry play,unconventional,0.02046,False
model school,other,0.00814,False
whether ... or ...,National Life Finance Corporation (1949-2008),-0.0952,False
annoying,walking alone,0.03033,False
benzofuran,replacement,0.0665,False
to combine parts of two different things into a new thing,to combine parts of two different things into a new thing,1.0,True
untruthfulness,truthfulness,0.09674,False
to carry out,to carry out,1.0,True
senior citizen,"Yasuda Fire and Marine Insurance Company, Limited",0.0652,False
custom,mother tuber of a taro,-0.1138,False
know,imaginary shield that gives one invincibility or immunity,-0.1122,False
perfectionism,fastidiousness,0.5557,True
squirting,to amass a fortune,-0.21,False
Dalmatian pellitory,Standing Committee for House Management,-0.02397,False
owl,acceptance limits,0.012695,False
hot spring rich in sodium sulfate,sodium sulfate spring,0.839,True
jump_on,extreme sports,0.1719,False
insincerity,compactly,-0.09406,False
every evening,woods,-0.0741,False
bee yard,powder room,0.277,False
picture,to cast (shadow),0.1333,False
sales department,Tajikistan,0.03906,False
hating to lose,unyielding,0.6245,True
to make money without working,extinct language,-0.2241,False
gigantic,irresoluteness,-0.2349,False
ovation,uncheerfulness,0.00796,False
any more,misjudgment,-0.0851,False
to worry about,adequacy,-0.1381,False
rich_people,lay_out,0.0211,False
little,tall,-0.2189,False
housewarming,variety of sweet potato with red skin and sweet yellow flesh; product of the Kawagoe region,-0.05945,False
to reach,immoderately,-0.05878,False
breadth of one's interests and knowledge,keirin,-0.02464,False
(easily) in excess of,"emerald tree monitor (Varanus prasinus, species of arboreal carnivorous monitor lizard found from New Guinea to Queensland, Australia)",-0.007736,False
better than nothing,unlike,0.06256,False
raising with loving care,just,-0.0667,False
no-holds-barred party,comparing the beauty of dew to that of a flower,0.05133,False
blank slate,point (unit of type measurement),-0.0312,False
paddle (in table-tennis),antapex,0.06793,False
nasty glance,notebook computer,-0.0766,False
encode,prime of life,-0.0992,False
price consciousness,chaos,-0.05444,False
bright white moon,not asking (about),-0.08923,False
disguise,airing of books,0.01183,False
remote,close,0.1687,False
regimen,neighbourhood,0.09906,False
WYSIWYS,descendant,-0.10223,False
quasi,to receive,-0.1707,False
lavatory,segmentation,-0.0484,False
one's last moments,apocenter,0.2291,False
chillum (smoking pipe),chillum (smoking pipe),1.0,True
official bulletin board (esp. Edo period),hold_out,-0.2213,False
Chutaikyo System,coloring-free,0.05328,False
entitlement,interpoint,-0.03317,False
small shrine,too much for one to handle,-0.05334,False
nonindulgent,to resist,0.04187,False
judgement,judgment,0.9595,True
normal crop,CPI,0.05356,False
diversion,pastime,0.607,True
to misstate (the facts),"special consideration (esp. of a monarch, emperor, etc.)",-0.08246,False
(car) horn,klaxon,0.552,True
residence,abusive language,0.05634,False
earthquake insurance,Bengal fox (Vulpes bengalensis),-0.004208,False
derailing,grip (of hand),0.1719,False
votive offering of money,in a murmur,0.03174,False
exact calculation,sexual technique,0.01845,False
sequential,death,0.02931,False
ill-defined,use of the continuative form as a conjunction (in Japanese),0.1214,False
Kyōhō shaku (approx. 30.36 cm),contamination,0.02246,False
regressive probation,non-involvement,0.1367,False
publication of two or more different books together as one,energy,-0.05142,False
contribution,lofty,-0.005676,False
rural,rural,1.0,True
haste,speed_up,0.741,True
word choice,Network File System,0.05084,False
etiquette,unconcerned,0.02017,False
hopter (gadget that allows its user to fly; in the Doraemon manga and anime series),to saturate,0.05115,False
disincentive,NC,0.08923,False
surplus,inflexibility,0.0484,False
penis,bush clover blossoming in the summer (esp. Lespedeza thunbergii),-0.05933,False
(please) do,all,-0.00662,False
(sibling) from a different mother,different shape,0.0576,False
ethnic,ostrich fern,-0.04916,False
to settle,travels,-0.11237,False
NRIFE,fragile,-0.02429,False
unbend,variant kanji form,-0.0309,False
trial,enforce,0.05582,False
file,turn_off,0.2228,False
transinformation (content),run_over,0.0971,False
EIKEN Test in Practical English Proficiency,electron spin resonance,0.4434,False
offset,free e-mail service,-0.06964,False
paper-covered frame put over a hearth or brazier to make the fire last longer,small charcoal,0.2372,False
rubbish,splash (of water),0.2424,False
refusal,craft,0.09735,False
one's true nature,periodic fee (esp. for employee travel),-0.10706,False
disorderly,chaotic,0.7827,True
non-hatred,overcast,0.0469,False
ōraimono,sense of the geography of a place,-0.0537,False
waterway,canal,0.856,True
National Congress for Educational Reform,to sneer at,0.07574,False
useful,chanterelle mushroom (Cantharellus cibarius),0.03705,False
mediator,unity of church and state,0.2408,False
powder,absurd,0.1215,False
to put an end to,misfortunes can happen to anyone,-0.03848,False
Galapagos phenomenon,general-purpose notebook,0.03253,False
great poet,programme,-0.02682,False
target,"object (of worship, study, etc.)",0.577,True
entrusting someone with an important position,hardener,-0.1279,False
chip,foresight,0.01279,False
launch,start-up,0.8066,True
forbearance,formally,-0.1725,False
starting fare,status report,0.00504,False
best regards,please take care of,0.7305,True
direct memory access,thick (consistency),-0.04315,False
bolero,shrug,0.4014,True
with each new day,with each new day,1.0,True
double quotation (mark),"kanji ""bird"" radical",0.01692,False
yoko-hyogo,going too far,-0.091,False
self-reliance,101-key keyboard (standard keyboard layout developed by IBM),0.09644,False
direct examination,direct examination,1.0,True
10-point card,tane,0.6167,True
avoid,additional bus service,0.0757,False
protostome,knock on wood,-0.11945,False
trace,feel_for,0.5215,True
frolicking,romping,0.7915,True
(metaphorically) distant mountain range,skipjack (beetle of family Elateridae),-0.03008,False
nonuniformity,innocuous,-0.0948,False
penis removal,crowded,0.04868,False
undress,hopeless,-0.1676,False
contract work,dollar bill,-0.00843,False
firefly watching,to take out,-0.0804,False
test,extraocular muscle,-0.16,False
elimination,micronutrient,-0.2184,False
hospitality,feather,-0.09015,False
entry point,uneven,-0.0715,False
clear_up,somewhat expensive,-0.0868,False
infertility,exploding on impact,0.01985,False
harming others,hamburger shop,-0.01822,False
demobilization,demobilisation,0.818,True
insight,channel (e.g. between two land masses),0.1462,False
meal time,to kindly do for one,0.02518,False
one's post,nasal drops,0.1091,False
various opinions,various theories,0.6567,True
equally (well),elder sister,-0.0856,False
darn,inattention,-0.02011,False
Kyoto Gozan,pull_down,-0.02156,False
domain,steamer,0.03473,False
easy,being terribly grateful,-0.01251,False
dispatch,profuse weeping,0.05072,False
cut_out,late,-0.0419,False
impure,die_out,0.02675,False
public policy,to gaze out over,-0.05106,False
to be put in order,to be put in order,0.9995,True
flabby,ice shaver,-0.0327,False
chigger (Tunga penetrans),takoyaki pan (cast iron with semi-spherical molds),0.02377,False
plump,lightly,0.03195,False
pendant light,inexpedience,0.01868,False
inconsistency,lazy study habits,0.1654,False
to dry up,sabotage,-0.0804,False
CE (Common Era),'s house,0.0846,False
"compiling and presenting poems, texts, etc. to the emperor",sweat sensor,0.0469,False
gang,gang,1.0,True
document duty stamp,I can understand your feelings,0.1234,False
deception,reading but not responding to a text message (in a chat application),0.2654,False
Russian tortoise (Agrionemys horsfieldii),Russian tortoise (Agrionemys horsfieldii),1.001,True
photo shop,photo studio,0.7656,True
APEC,(person who has the) hands of God,-0.0452,False
exhorting,biennial plant,0.07404,False
crime,party at its peak,0.0526,False
interface control unit,acrostic,0.1631,False
angler,anyway,-0.0891,False
soundproof wall,soundwall,0.886,True
